ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Marcas,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Meta: _tf_flashsale_text,Meta: _tf_flashsale_text_2,Meta: cmplz_hide_cookiebanner,Meta: site-sidebar-layout,Meta: ast-site-content-layout,Meta: site-content-style,Meta: site-sidebar-style,Meta: theme-transparent-header-meta,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _alg_wc_wl_added_by_unregistered_users_count,Meta: adp_custom_product_attribute_0,Meta: adp_custom_product_attribute_1,Meta: adp_custom_product_attribute_2,Meta: adp_custom_product_attribute_3,Meta: _yoast_wpseo_primary_product_brand,Meta: astra-migrate-meta-layouts,Atributo por defecto 1,Meta: _alg_wc_wl_added_by_registered_users_count,Meta: adp_custom_product_attribute_4,Meta: adp_custom_product_attribute_5,Meta: adp_custom_product_attribute_6,Meta: adp_custom_product_attribute_7,Meta: adp_custom_product_attribute_8,Meta: adp_custom_product_attribute_9,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Meta: adp_custom_product_attribute_10,Meta: adp_custom_product_attribute_11,Meta: adp_custom_product_attribute_12,Meta: adp_custom_product_attribute_13,Meta: adp_custom_product_attribute_14,Meta: adp_custom_product_attribute_15,Meta: adp_custom_product_attribute_16,Meta: adp_custom_product_attribute_17,Meta: adp_custom_product_attribute_18,Meta: adp_custom_product_attribute_19,Meta: adp_custom_product_attribute_20,Meta: adp_custom_product_attribute_21,Meta: adp_custom_product_attribute_22,Meta: adp_custom_product_attribute_23,Meta: adp_custom_product_attribute_24,Meta: adp_custom_product_attribute_25,Meta: adp_custom_product_attribute_26,Meta: adp_custom_product_attribute_27,Meta: adp_custom_product_attribute_28,Meta: adp_custom_product_attribute_29,Meta: adp_custom_product_attribute_30,Meta: adp_custom_product_attribute_31,Meta: adp_custom_product_attribute_32,Meta: adp_custom_product_attribute_33,Meta: adp_custom_product_attribute_34
6461,variable,,,Circuito SPA,1,0,visible,"Si necesitas tomarte un respiro, relajar tu mente o purificar y liberar de toxinas a tu cuerpo, es el momento de un tratamiento termal, donde el agua, será tu mejor aliado.
\n
\nLa hidroterapia emplea agua a diferentes temperaturas, alternando agua fría y caliente, aplicando chorros de agua a presión y en baños. Es un tratamiento natural que utiliza el agua como elemento principal y con una pequeña estimulación ayuda a activar las funciones vitales.
\n
\nEl agua caliente provoca la dilatación de los vasos sanguíneos superficiales favoreciendo la circulación bajo la piel. El agua fría provoca el efecto contrario, la contracción de los vasos sanguíneos superficiales, favoreciendo la circulación interna. La presión ejercida por los chorros de agua, y su efecto mecánico, proporciona un relajante masaje, que además mejora la circulación venosa de retorno. Los estímulos térmicos sobre la piel provocan una respuesta en la circulación sanguínea y, a través del sistema nervioso llega a nivel de músculos, órganos y a la circulación general de todo el cuerpo.","Si necesitas tomarte un respiro, relajar tu mente o purificar y liberar de toxinas a tu cuerpo, es el momento de un tratamiento termal, donde el agua, será tu mejor aliado.
\n
\nLa hidroterapia emplea agua a diferentes temperaturas, alternando agua fría y caliente, aplicando chorros de agua a presión y en baños. Es un tratamiento natural que utiliza el agua como elemento principal y con una pequeña estimulación ayuda a activar las funciones vitales.
\n
\nEl agua caliente provoca la dilatación de los vasos sanguíneos superficiales favoreciendo la circulación bajo la piel. El agua fría provoca el efecto contrario, la contracción de los vasos sanguíneos superficiales, favoreciendo la circulación interna. La presión ejercida por los chorros de agua, y su efecto mecánico, proporciona un relajante masaje, que además mejora la circulación venosa de retorno. Los estímulos térmicos sobre la piel provocan una respuesta en la circulación sanguínea y, a través del sistema nervioso llega a nivel de músculos, órganos y a la circulación general de todo el cuerpo.",,,taxable,,1,,,0,0,,,,,1,,,,"EXPERIENCIAS SPA > Circuito SPA, EXPERIENCIAS SPA",Experiencias SPA,,https://cumbriabienestar.es/wp-content/uploads/2024/08/23536.jpg,,,,,,,,,0,,Circuito,"Circuito Spa, Pack Circuito spa + Masaje - Duración 30', Bono de 5 Circuitos SPA, Bono de 10 Circuitos SPA, Circuito Spa, Pack Circuito spa + Masaje - Duración 30' (Individual)",1,0,,,,default,default,default,default,default,414,90,1,59,Circuito:Circuito SPA - Duración 60',Circuito:SPA + Masaje - Duración 30',Circuito:Bono de 5 Circuitos SPA,Circuito:Bono de 10 Circuitos SPA,,set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6468,"simple, virtual",,,Suite Spa,1,0,visible,"<strong>Tu SPA Privado – Ideal para compartir</strong>
\n¿Quieres sorprender a tu pareja? Imagínate un lugar único y exclusivo para vosotros, con la complicidad de estar solos y dedicado al bienestar. Baño de hidromasaje, cascada de agua, sauna y baño de vapor, duchas, sillones…
\n
\nOs recomendamos que finalicéis con un masaje en las camillas de la propia suite y así despediros hasta la próxima con una sonrisa feliz de oreja a oreja.
\n
\nDuración: 60'
\n
\nPara 1 o 2 personas
\n
\n&nbsp;","<strong>Tu SPA Privado – Ideal para compartir</strong>
\n¿Quieres sorprender a tu pareja? Imagínate un lugar único y exclusivo para vosotros, con la complicidad de estar solos y dedicado al bienestar. Baño de hidromasaje, cascada de agua, sauna y baño de vapor, duchas, sillones…
\n
\nOs recomendamos que finalicéis con un masaje en las camillas de la propia suite y así despediros hasta la próxima con una sonrisa feliz de oreja a oreja.
\n
\nDuración: 60'
\n
\nPara 1 o 2 personas
\n
\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,100,"EXPERIENCIAS SPA, EXPERIENCIAS SPA > Suite SPA",Experiencias SPA,,https://cumbriabienestar.es/wp-content/uploads/2024/08/46120.jpg,,,,,,,,,0,,,,,,,,,default,default,default,default,default,414,90,1,35,,,,,,set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6470,variable,,,SPA y Sabores,1,0,visible,"Completa tu experiencia SPA
\nIniciamos con un Circuito SPA: Hidromasaje, cascadas, chorros a presión, contrastes térmicos, burbujas… para olvidar el estrés. Y que mejor manera de finalizar nuestra sesión de SPA que sentados a la mesa. El programa incluye la comida o la cena en CUMBRIA Restaurante, donde podrás elegir los platos que más te gusten del variado Menú del día.
\n
\nIncluye:
\n<ul>
\n 	<li>Circuito SPA</li>
\n 	<li>Restaurante (Comida o cena)</li>
\n</ul>","Completa tu experiencia SPA
\nIniciamos con un Circuito SPA: Hidromasaje, cascadas, chorros a presión, contrastes térmicos, burbujas… para olvidar el estrés. Y que mejor manera de finalizar nuestra sesión de SPA que sentados a la mesa. El programa incluye la comida o la cena en CUMBRIA Restaurante, donde podrás elegir los platos que más te gusten del variado Menú del día.
\n
\nIncluye:
\n<ul>
\n 	<li>Circuito SPA</li>
\n 	<li>Restaurante (Comida o cena)</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,1,,,,"SPA PROGRAMA SPA, SPA PROGRAMA SPA > SPA y sabores",Experiencias SPA,,https://cumbriabienestar.es/wp-content/uploads/2024/08/spa-massage-concept-with-woman-scaled.jpg,,,,,,,,,0,,Circuito,"2 personas, Individual",1,0,,,,default,default,default,default,default,391,90,1,33,,,,,,set,2 personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6472,variable,,,Relax Oriental,1,0,visible,"<strong>Balneoterapia con masaje</strong>
\nSala privada con baño de hidromasaje y cromoterapia que relajará tu mente. Continuaremos con un masaje relajante combinando técnicas de presión manuales y largas caricias para renovar y desestresar el cuerpo y la mente.
\n
\nDuración: baño en bañera de hidromasaje 30 min + masaje relax 30 min","<strong>Balneoterapia con masaje</strong>
\nSala privada con baño de hidromasaje y cromoterapia que relajará tu mente. Continuaremos con un masaje relajante combinando técnicas de presión manuales y largas caricias para renovar y desestresar el cuerpo y la mente.
\n
\nDuración: baño en bañera de hidromasaje 30 min + masaje relax 30 min",,,taxable,,1,,,0,0,,,,,1,,,,"EXPERIENCIAS SPA, PROGRAMAS PARA COMPARTIR, EXPERIENCIAS SPA > Relax Oriental",,,https://cumbriabienestar.es/wp-content/uploads/2024/08/46177.jpg,,,,,,,,,0,,Personas,"Individual, 2 personas",1,0,,,,default,default,default,default,default,391,90,1,14,Personas:1 persona,Personas:2 personas,,,,set,2 personas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6475,"variation, virtual",,,Relax Oriental - 2 personas,1,0,visible,,Relax oriental para 2 personas,,,taxable,parent,1,,,0,0,,,,,0,,,90,,,,https://cumbriabienestar.es/wp-content/uploads/2024/08/46177.jpg,,,id:6472,,,,,,1,,Personas,2 personas,,0,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6477,"simple, virtual",,,Encuentro Romántico,1,0,visible,"<strong>Tu SPA privado con Masaje Exclusivo</strong>
\nImagínate un lugar único y exclusivo para vosotros, dedicado al bienestar y con la complicidad de estar solos. Hidromasaje con cascada de agua, sauna y baño de vapor, duchas, sillones… Finalizamos con un delicado y estimulante masaje corporal, que te proporcionará sensaciones de bienestar y placer corporal.
\n<div class=""priced-title"">
\n
\nincluye para dos personas:
\n<ul>
\n 	<li style=""list-style-type: none;"">
\n<ul>
\n 	<li>Suite SPA Privada - Duración: 60'</li>
\n 	<li>Masaje relax - Duración: 30'</li>
\n</ul>
\n</li>
\n</ul>
\n</div>","<strong>Tu SPA privado con Masaje Exclusivo</strong>
\nImagínate un lugar único y exclusivo para vosotros, dedicado al bienestar y con la complicidad de estar solos. Hidromasaje con cascada de agua, sauna y baño de vapor, duchas, sillones… Finalizamos con un delicado y estimulante masaje corporal, que te proporcionará sensaciones de bienestar y placer corporal.
\n<div class=""priced-title"">
\n
\nincluye para dos personas:
\n<ul>
\n 	<li style=""list-style-type: none;"">
\n<ul>
\n 	<li>Suite SPA Privada - Duración: 60'</li>
\n 	<li>Masaje relax - Duración: 30'</li>
\n</ul>
\n</li>
\n</ul>
\n</div>",,,taxable,,1,,,0,0,,,,,1,,,150,"SPA PROGRAMA SPA > Encuentro Romántico, SPA PROGRAMA SPA",,,https://cumbriabienestar.es/wp-content/uploads/2024/08/2148378764.jpg,,,,,,,,,0,,,,,,,,,default,default,default,default,default,391,90,1,39,,,,,,set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6479,"simple, virtual",,,Especial Parejas,1,0,visible,"<strong>Comparte la experiencia</strong>
\nComenzamos compartiendo un Circuito SPA para purificar el cuerpo y eliminar toxinas, continuamos con la envoltura corporal que más os guste y un masaje craneo-facial y finalizamos con un delicioso masaje corporal relajante para renovar y desestresar el cuerpo y la mente.
\n
\nIncluye:
\n<ul>
\n 	<li>Circuito Spa - Duración: 60'</li>
\n 	<li>Envoltura corporal con masaje cráneo-facial + masaje relax -  Duración: 30'</li>
\n</ul>","<strong>Comparte la experiencia</strong>
\nComenzamos compartiendo un Circuito SPA para purificar el cuerpo y eliminar toxinas, continuamos con la envoltura corporal que más os guste y un masaje craneo-facial y finalizamos con un delicioso masaje corporal relajante para renovar y desestresar el cuerpo y la mente.
\n
\nIncluye:
\n<ul>
\n 	<li>Circuito Spa - Duración: 60'</li>
\n 	<li>Envoltura corporal con masaje cráneo-facial + masaje relax -  Duración: 30'</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,1,,,150,"SPA PROGRAMA SPA > Especial Parejas, SPA PROGRAMA SPA",,,https://cumbriabienestar.es/wp-content/uploads/2024/08/407.jpg,,,,,,,,,0,,,,,,,,,default,default,default,default,default,391,90,1,31,,,,,,set,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6481,"simple, virtual",,,Sueño para dos,1,0,visible,"Incluye:
\n<ul>
\n 	<li><span style=""font-size: 16px;"">Alojamiento en habitación doble</span></li>
\n 	<li>Desayuno</li>
\n 	<li>Menú (comida o cena)</li>
\n 	<li>Circuito SPA - Duración 60'</li>
\n</ul>","<ul>
\n 	<li>Incluye:
\n<ul>
\n 	<li><span style=""font-size: 16px;"">Alojamiento en habitación doble</span></li>
\n 	<li>Desayuno</li>
\n 	<li>Menú (comida o cena)</li>
\n 	<li>Circuito SPA - Duración 60'</li>
\n</ul>
\n</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,1,,,140,"PROGRAMAS PARA COMPARTIR, PROGRAMAS PARA COMPARTIR > Sueño para dos",,,https://cumbriabienestar.es/wp-content/uploads/2024/08/cumbria_bienestar01.jpg,,,,,,,,,0,,,,,,,,,default,default,default,default,default,391,90,1,33,,,,,,set,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6483,"simple, virtual",,,Fantasía para dos,1,0,visible,"Incluye:
\n<ul>
\n 	<li style=""list-style-type: none;"">
\n<ul>
\n 	<li><span style=""font-size: 16px; font-style: normal; font-weight: 400;"">Alojamiento en habitación doble</span></li>
\n 	<li>Desayuno</li>
\n 	<li>Circuito SPA - Duración 60'</li>
\n 	<li>Masaje en pareja - Duración 30'</li>
\n</ul>
\n</li>
\n</ul>","Incluye:
\n<ul>
\n 	<li style=""list-style-type: none;"">
\n<ul>
\n 	<li><span style=""font-size: 16px; font-style: normal; font-weight: 400;"">Alojamiento en habitación doble</span></li>
\n 	<li>Desayuno</li>
\n 	<li>Circuito SPA - Duración 60'</li>
\n 	<li>Masaje en pareja - Duración 30'</li>
\n</ul>
\n</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,1,,,165,"PROGRAMAS PARA COMPARTIR > Fantasía para dos, PROGRAMAS PARA COMPARTIR",,,https://cumbriabienestar.es/wp-content/uploads/2024/08/cumbria_bienestar02.jpg,,,,,,,,,0,,,,,,,,,default,default,default,default,default,391,90,1,25,,,,,,set,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6485,"simple, virtual",,,Aventura para dos,1,0,visible,"Incluye:
\n<ul>
\n 	<li><span style=""font-size: 16px; font-style: normal; font-weight: 400;"">Alojamiento en habitación doble</span></li>
\n 	<li>Desayuno</li>
\n 	<li> Suite spa privada - Duración 60'</li>
\n 	<li>Botella de cava</li>
\n</ul>","Incluye:
\n<ul>
\n 	<li><span style=""font-size: 16px; font-style: normal; font-weight: 400;"">Alojamiento en habitación doble</span></li>
\n 	<li>Desayuno</li>
\n 	<li> Suite spa privada - Duración 60'</li>
\n 	<li>Botella de cava</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,1,,,190,"PROGRAMAS PARA COMPARTIR > Aventura para dos, PROGRAMAS PARA COMPARTIR",,,https://cumbriabienestar.es/wp-content/uploads/2024/08/cumbria_bienestar03.jpg,,,,,,,,,0,,,,,,,,,default,default,default,default,default,391,90,1,34,,,,,,set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
